Title,URL,Score:viral,Score:educational,Score:controversial,Score:community,Score:evergreen,Score:hype,Published at,Positive interestingness,Positive negative coefficient,Total interestingness,Views,Likes,Dislikes,Comments,Total reaction,Global buzz index
Are People Getting Hotter?,https://www.youtube.com/watch?v=HqNcgLskf3w,0.053796,0.048498,0.000012,0.500863,458.322134,11238.769705,2022-12-23 19:27:48,0.0798,1130916.0000,0.0816,14165904,1130916,0,24467,1155383,16367044661232
My First Screen-Acting Role. 2003,https://www.youtube.com/watch?v=kXeX8jjwtPU,0.041828,0.048395,0.000084,0.500841,99.555001,2449.873553,2024-06-10 14:55:06,0.0796,141478.0000,0.0813,1777724,141478,0,3003,144481,256847341244
The Topsy Turvy Top,https://www.youtube.com/watch?v=KWmaIZrBE2w,0.044848,0.048474,0.000034,0.500429,153.110553,3776.352406,2022-12-19 17:12:19,0.0802,383119.0000,0.0811,4775363,383119,0,4110,387229,1849159039127
789,https://www.youtube.com/watch?v=gIneEnHo54Y,0.057637,0.048349,0.000010,0.500631,615.774183,15190.266967,2023-02-17 20:57:55,0.0798,1460171.0000,0.0811,18294962,1460171,0,23089,1483260,27136185336120
The Last Person To Know The World Before Photography,https://www.youtube.com/watch?v=__oyrf33O8M,0.047360,0.048624,0.000023,0.500171,453.820904,11211.489219,2024-08-23 03:26:21,0.0806,589370.0000,0.0810,7311207,589370,0,2518,591888,4327415688816
ARE Leaves Green?,https://www.youtube.com/watch?v=loFzNec3kS8,0.044222,0.048588,0.000037,0.500647,775.286352,19167.550840,2025-10-21 22:02:15,0.0796,346859.0000,0.0809,4357598,346859,0,5651,352510,1536096870980
Every 2-Letter Scrabble Word,https://www.youtube.com/watch?v=IN_NFwqZdpk,0.044109,0.048197,0.000037,0.500735,261.861148,6480.473386,2024-08-06 00:15:47,0.0793,344115.0000,0.0808,4337055,344115,0,6385,350500,1520137777500
This Book Will Put You To Sleep,https://www.youtube.com/watch?v=fAJHGb016CY,0.051602,0.048289,0.000014,0.500443,465.741879,11533.185261,2023-07-29 20:20:19,0.0799,960322.0000,0.0808,12022345,960322,0,10668,970990,11673576771550
The Resurrection of Margaret Taylor #shorts,https://www.youtube.com/watch?v=nZmmBAFJBhw,0.043811,0.048269,0.000041,0.500212,99.331442,2466.170784,2022-03-04 20:36:23,0.0801,307160.0000,0.0806,3833421,307160,0,1641,308801,1183764238221
Let's Listen To The First Vsauce Vinyl @jakechudnow,https://www.youtube.com/watch?v=LnxV2DnCfB4,0.044667,0.048105,0.000033,0.500396,191.987008,4775.227691,2023-08-10 22:19:59,0.0796,391714.0000,0.0804,4920061,391714,0,3905,395619,1946469612759
Words That Look Similar ON YOUR LIPS,https://www.youtube.com/watch?v=7ByBcO9w6QQ,0.042039,0.047997,0.000066,0.500544,120.279857,2994.787522,2024-04-26 18:10:57,0.0792,182828.0000,0.0803,2307493,182828,0,2523,185351,427696135043
3D Photographs Of Things We Have Lost,https://www.youtube.com/watch?v=FIJ0qDwmezc,0.043248,0.048174,0.000046,0.500252,201.986525,5030.903511,2024-07-29 17:28:13,0.0798,271574.0000,0.0803,3403571,271574,0,1726,273300,930195954300
A Funeral For A Species,https://www.youtube.com/watch?v=VZIUL5Kmtgs,0.049758,0.047851,0.000016,0.500341,695.093717,17417.138663,2024-10-10 01:12:06,0.0791,832781.0000,0.0798,10523620,832781,0,7184,839965,8839472473300
Was Reality Different When You Were A Kid?,https://www.youtube.com/watch?v=KElHrydCYkc,0.047123,0.047608,0.000021,0.500341,332.232202,8356.618422,2023-10-31 20:22:08,0.0788,624765.0000,0.0795,7925517,624765,0,5420,630185,4994541930645
EXPERIMENTING,https://www.youtube.com/watch?v=4s95ejalx7M,0.044329,0.047174,0.000031,0.500379,166.675379,4226.458589,2022-12-15 21:23:01,0.0781,418732.0000,0.0789,5360712,418732,0,4079,422811,2266568001432
The Official Blue Berry of North Carolina,https://www.youtube.com/watch?v=7MfvZuCXVMQ,0.041423,0.047319,0.000059,0.500924,602.198358,15276.305800,2025-12-12 22:15:15,0.0770,206209.0000,0.0788,2678447,206209,0,4961,211170,565607652990
Why Is There Something Rather Than Nothing?,https://www.youtube.com/watch?v=ffxOWSvnonQ,0.042616,0.046993,0.000043,0.500568,142.819849,3628.057559,2023-08-04 18:23:11,0.0776,291776.0000,0.0787,3760462,291776,0,4287,296063,1113333661106
The Trinity Cube,https://www.youtube.com/watch?v=p2tCPVfaF2M,0.044600,0.047131,0.000029,0.500282,233.608666,5939.646499,2023-10-21 14:23:39,0.0781,444680.0000,0.0787,5694107,444680,0,3222,447902,2550401913514
"Who Voted For ""Me""?",https://www.youtube.com/watch?v=y2jkYCT8dio,0.052525,0.047101,0.000013,0.500339,804.653816,20475.037601,2024-07-19 16:43:50,0.0779,1095334.0000,0.0786,14057415,1095334,0,9557,1104891,15531911316765
Our DARKEST Day,https://www.youtube.com/watch?v=DtAtNp5NL1s,0.050161,0.047063,0.000015,0.500362,661.090985,16830.351852,2024-07-15 22:54:54,0.0778,904280.0000,0.0786,11618091,904280,0,8429,912709,10603936218519
