Title,URL,Score:viral,Score:educational,Score:controversial,Score:community,Score:evergreen,Score:hype,Published at,Duration,Positive interestingness,Positive negative coefficient,Total interestingness,Views,Likes,Dislikes,Comments,Total reaction,Global buzz index
LIVE: Shenzhou-14 Crew Return to Earth after Basic Construction of China's Space Station,https://www.youtube.com/watch?v=2i6r5POH8K4,0.012569,0.012561,0.007803,0.499637,0.343478,32.643970,2022-12-04 14:00:50,9795,0.0206,866.0000,0.0210,42055,866,0,18,884,37176620
LIVE: First Flag-Raising Ceremony of 2025 at Tiananmen Square,https://www.youtube.com/watch?v=E1r6CYkXFp8,0.012260,0.012267,0.007960,0.500110,0.857594,82.249670,2025-01-01 11:43:56,755,0.0194,846.0000,0.0208,43542,846,0,61,907,39492594
Chinese president inspects Xiong'an New Area,https://www.youtube.com/watch?v=1miBIMFsGgA,0.013884,0.011649,0.004845,0.501033,0.769499,74.551719,2023-05-10 14:55:45,314,0.0179,1510.0000,0.0206,84337,1510,0,230,1740,146746380
"Xi Says Looking Forward to Cementing Friendship, Promoting Cooperation with Cambodia",https://www.youtube.com/watch?v=CvVa77DrOmE,0.010549,0.011979,0.018555,0.499377,0.403995,39.171008,2025-04-17 14:30:50,513,0.0186,308.0000,0.0206,16580,308,0,33,341,5653780
"Xi, His Wife Hold Welcome Banquet for Guests Attending Hangzhou Asian Games Opening Ceremony",https://www.youtube.com/watch?v=KnMCf5LA9iM,0.015912,0.011638,0.003420,0.500610,1.236903,123.268303,2023-09-23 15:35:19,318,0.0184,2257.0000,0.0201,122680,2257,0,204,2461,301915480
LIVE: Flying Performance at 15th China International Aviation and Aerospace Exhibition (Nov.13),https://www.youtube.com/watch?v=YQzYinGAYAY,0.010375,0.011941,0.024426,0.497958,0.195310,19.607042,2024-11-13 07:25:28,16451,0.0194,220.0000,0.0198,11344,220,0,5,225,2552400
Foot Formations Featuring PLA's New Military Structure Pass Through Tian'anmen Square,https://www.youtube.com/watch?v=SQSDwDMZ6Gs,0.013959,0.011224,0.004606,0.501376,3.393504,342.436400,2025-09-03 08:42:29,365,0.0164,1601.0000,0.0198,97428,1601,0,329,1930,188036040
Xi Calls for Meeting Challenges of the Time Together at G20 Summit,https://www.youtube.com/watch?v=k5ZoFNHln1E,0.010377,0.011401,0.016464,0.499508,0.150309,15.157888,2022-11-15 13:42:04,309,0.0180,356.0000,0.0198,19816,356,0,36,392,7767872
Xi Addresses Welcome Dinner by Friendly Organizations in U.S.,https://www.youtube.com/watch?v=sBBbIHCb1Rk,0.013268,0.010837,0.005152,0.501217,0.891489,91.584324,2023-11-16 18:07:31,447,0.0163,1406.0000,0.0195,86192,1406,0,271,1677,144543984
LIVE: Special Coverage of China's Shenzhou-20 Crewed Spacecraft Launch,https://www.youtube.com/watch?v=mv2zVrpjKV8,0.011674,0.011443,0.008057,0.499945,1.063813,110.602863,2025-04-24 22:05:14,11726,0.0181,834.0000,0.0192,46006,834,0,50,884,40669304
Xi Holds Talks with Visiting Micronesian President,https://www.youtube.com/watch?v=-sltHxJW4DA,0.009915,0.010934,0.017442,0.499689,0.238617,24.783470,2024-04-09 14:53:26,316,0.0168,332.0000,0.0192,19734,332,0,47,379,7479186
Xi Hosts Welcome Banquet for VIPs Attending Opening Ceremony of Asian Winter Games,https://www.youtube.com/watch?v=HVS_nsIdxJU,0.012695,0.011220,0.005846,0.500377,1.344893,140.356460,2025-02-07 15:28:10,304,0.0176,1214.0000,0.0191,69088,1214,0,109,1323,91403424
LIVE: China's Shenzhou-20 Crew Returns to Earth,https://www.youtube.com/watch?v=tV-n3vFCE1o,0.010742,0.011611,0.011988,0.499042,1.231326,132.393478,2025-11-14 21:50:54,6636,0.0186,521.0000,0.0186,28063,521,0,0,521,14620823
CMG Stages Annual Spring Festival Gala as China Celebrates Year of Snake (Wrap-up),https://www.youtube.com/watch?v=RCO0K7_geNo,0.009757,0.010797,0.017751,0.499196,0.352533,38.226938,2025-01-28 19:06:56,455,0.0169,325.0000,0.0184,19193,325,0,28,353,6775129
LIVE: Remains of 25 Chinese Soldiers killed in Korean War Back to China,https://www.youtube.com/watch?v=xpnzh9Nx99g,0.009624,0.010560,0.018120,0.499190,0.185725,20.369777,2023-11-23 16:46:22,4231,0.0167,317.0000,0.0182,19029,317,0,29,346,6584034
Chinese President Xi Jinping Meets German Chancellor Olaf Scholz,https://www.youtube.com/watch?v=AGOGawvrPxI,0.014576,0.009810,0.004082,0.501544,0.874598,96.921060,2022-11-04 13:21:38,529,0.0144,1841.0000,0.0180,127773,1841,0,464,2305,294516765
Xi Holds Informal Meeting with Macron in Guangzhou,https://www.youtube.com/watch?v=zjVaVIERZuk,0.013149,0.009828,0.004929,0.500992,0.749760,85.317124,2023-04-08 04:07:03,384,0.0149,1480.0000,0.0176,99284,1480,0,264,1744,173151296
LIVE: Flying Performance at 15th China International Aviation and Aerospace Exhibition (Nov.12),https://www.youtube.com/watch?v=JnKO5dsPlZQ,0.011694,0.010591,0.006896,0.499690,0.883402,100.561138,2024-11-12 07:10:52,15736,0.0172,1001.0000,0.0176,58283,1001,0,22,1023,59623509
LIVE: Chinese President Xi Jinping chairs China-Central Asia Summit,https://www.youtube.com/watch?v=luIFEZ_RYUA,0.009221,0.010000,0.018262,0.499142,0.153279,17.722481,2023-05-19 17:49:45,9375,0.0158,314.0000,0.0172,19887,314,0,29,343,6821241
LIVE: Launch of China's Shenzhou-18 Manned Spacecraft,https://www.youtube.com/watch?v=AOlSv7rdLDI,0.015206,0.010292,0.003505,0.499772,1.406641,166.008033,2024-04-25 15:35:32,14115,0.0169,2194.0000,0.0169,129524,2194,0,0,2194,284175656
LIVE: Launch of Tianzhou-7 Cargo Spacecraft,https://www.youtube.com/watch?v=ppcLKwTNIL8,0.011898,0.009725,0.006029,0.500166,0.717662,86.335591,2024-01-17 15:12:20,3240,0.0154,1171.0000,0.0166,75910,1171,0,90,1261,95722510
