Title,URL,Score:viral,Score:educational,Score:controversial,Score:community,Score:evergreen,Score:hype,Published at,Duration,Positive interestingness,Positive negative coefficient,Total interestingness,Views,Likes,Dislikes,Comments,Total reaction,Global buzz index
[ENG SUB] Embarquement sur la FREMM DA Alsace,https://www.youtube.com/watch?v=3cT4a2S5Vfc,0.015171,0.008803,0.012707,0.498973,0.129217,17.684990,2021-04-16 12:43:51,308,0.0146,486.0000,0.0146,33326,486,0,0,486,16196436
[METIERS] Mécatronicien,https://www.youtube.com/watch?v=xqRUk-j61m8,0.007687,0.008743,0.119007,0.482143,0.006662,0.886457,2020-09-11 07:52:43,116,0.0145,27.0000,0.0145,1863,27,0,0,27,50301
Portrait métier - Jimmy - Charpentier tôlier,https://www.youtube.com/watch?v=18xCN8IKLn8,0.007366,0.008690,0.188504,0.464286,0.007623,0.989899,2023-12-08 16:16:01,104,0.0143,13.0000,0.0143,909,13,0,0,13,11817
[#Drones] Reveal du futur Centre d'Excellence de La-Londe-les-Maures,https://www.youtube.com/watch?v=uCnE4zXPxZU,0.008138,0.008446,0.055855,0.494017,0.119429,16.826473,2025-07-01 11:09:55,142,0.0132,77.0000,0.0140,5847,77,0,5,82,479454
[SUFFREN] ⚓️ La chaufferie nucléaire de propulsion du Barracuda,https://www.youtube.com/watch?v=KyN4sVLuX6I,0.009296,0.008438,0.035912,0.496350,0.027276,3.868868,2019-07-29 14:59:00,187,0.0140,136.0000,0.0140,9716,136,0,0,136,1321376
[Best Of 2022] This is how we deliver power at sea.,https://www.youtube.com/watch?v=qCyuTak2MSw,0.008415,0.008128,0.047162,0.495382,0.042284,6.005182,2023-01-19 08:37:01,379,0.0129,96.0000,0.0139,7456,96,0,8,104,775424
Naval Group - Scorpène® 2000,https://www.youtube.com/watch?v=JZOIgpcCWoQ,0.017302,0.008404,0.010514,0.499180,0.145124,20.805119,2020-09-11 07:22:17,132,0.0139,609.0000,0.0139,43725,609,0,0,609,26628525
Grade2XL: Additive Manufacturing using the WAAM process,https://www.youtube.com/watch?v=AbI0-6xkacU,0.007907,0.008374,0.066567,0.492047,0.045632,6.495652,2024-07-23 15:29:32,172,0.0136,61.0000,0.0138,4484,61,0,1,62,278008
[METIERS] Architecte naval,https://www.youtube.com/watch?v=WgNCzHoBWi8,0.008228,0.008290,0.054775,0.493750,0.019033,2.736439,2020-09-11 07:36:52,125,0.0137,79.0000,0.0137,5751,79,0,0,79,454329
"PHA Mistral: high capacity, high agility",https://www.youtube.com/watch?v=PSlLV6rhU_c,0.016765,0.008244,0.011051,0.499130,0.136798,19.993386,2020-09-11 07:23:59,120,0.0137,574.0000,0.0137,42019,574,0,0,574,24118906
[#THROWBACK] FDI HS Kimon equipped with PSIM,https://www.youtube.com/watch?v=m4BDHIfsv-A,0.008221,0.008117,0.050879,0.494618,0.049181,7.127981,2023-11-21 15:00:32,95,0.0130,87.0000,0.0136,6667,87,0,4,91,606697
[EURONAVAL 2022] ⚓️ DAY 3. Throwback.,https://www.youtube.com/watch?v=w6jkbG6ym5k,0.006993,0.008129,0.166660,0.470588,0.006380,0.894760,2022-10-20 18:03:35,138,0.0134,16.0000,0.0134,1192,16,0,0,16,19072
⚓🎬 Talents étonnants – épisode 11 : expert en intelligence artificielle,https://www.youtube.com/watch?v=T0pBs7IdIg4,0.006865,0.008329,0.230259,0.450000,0.014060,1.886867,2025-06-23 08:05:51,162,0.0134,9.0000,0.0134,671,9,0,0,9,6039
Barracuda: French excellence,https://www.youtube.com/watch?v=116Utr_LYN0,0.016323,0.008067,0.011543,0.499084,0.129898,19.401020,2020-09-11 07:28:20,97,0.0134,545.0000,0.0134,40774,545,0,0,545,22221830
⚓🎬 Talents étonnants – épisode 15 : peintre industriel,https://www.youtube.com/watch?v=RTaCVrHH5Mw,0.006691,0.008271,0.346574,0.375000,0.006130,0.692679,2025-07-22 16:24:58,136,0.0133,3.0000,0.0133,226,3,0,0,3,678
"FDI Amiral Ronarc'h, première sortie en mer / sea trials",https://www.youtube.com/watch?v=gSefKMpxtqk,0.051698,0.007606,0.003443,0.500558,2.099968,318.499594,2024-10-16 16:56:50,100,0.0116,2240.0000,0.0132,192771,2240,0,301,2541,489831111
"[#LIVE] Καθέλκυση της 1ης Ελληνικής FDI, Φ/Γ ΚΙΜΩΝ | Launch of the 1st Hellenic FDI HS Kimon",https://www.youtube.com/watch?v=u8_vIAP6dpk,0.015069,0.007725,0.013114,0.498947,0.238987,37.497618,2023-10-04 15:18:06,5111,0.0127,468.0000,0.0127,36872,468,0,1,469,17292968
"Naval Group, european leader in naval defence",https://www.youtube.com/watch?v=SzO5q2L9Taw,0.006954,0.007579,0.097592,0.486486,0.008803,1.364649,2020-09-11 07:32:41,76,0.0126,36.0000,0.0126,2868,36,0,0,36,103248
Voici la FDI HN.,https://www.youtube.com/watch?v=YALnxikAbGI,0.016419,0.007301,0.012125,0.499437,0.179432,28.731188,2022-03-31 13:10:08,22,0.0117,514.0000,0.0125,44114,514,0,36,550,24262700
[SUFFREN] ⚓️ Les chiffres clés,https://www.youtube.com/watch?v=nYM_Otm-CYM,0.042341,0.007506,0.003970,0.499737,0.378216,60.757095,2019-07-26 12:20:55,115,0.0124,1901.0000,0.0124,152770,1901,0,0,1901,290415770
⚓🎬 Talents étonnants – épisode 12 : responsable contrôle export,https://www.youtube.com/watch?v=hvuwzlqeikQ,0.006086,0.007396,0.244136,0.444444,0.012798,1.919760,2025-06-27 08:19:38,158,0.0119,8.0000,0.0119,675,8,0,0,8,5400
[EURONAVAL 2022] Live from Naval Group's Lorient shipyard: time to discover our industrial secrets!,https://www.youtube.com/watch?v=yjjUPX_aDVw,0.006798,0.006913,0.073870,0.491155,0.021766,3.622168,2022-10-20 14:26:54,1401,0.0110,53.0000,0.0118,4826,53,0,4,57,275082
⚓🎬 Talents étonnants – épisode 13 : ingénieure sûreté nucléaire,https://www.youtube.com/watch?v=yyvsTTwPqwY,0.006103,0.007348,0.207076,0.458333,0.017364,2.705939,2025-07-03 10:00:35,127,0.0118,11.0000,0.0118,935,11,0,0,11,10285
[SUFFREN]  ⚓ Des capacités opérationnelles étendues,https://www.youtube.com/watch?v=CTqDyteleKU,0.010493,0.007034,0.023560,0.497835,0.045932,7.846533,2019-07-26 08:09:00,197,0.0117,230.0000,0.0117,19731,230,0,0,230,4538130
FREMM: the ultimate surface combatant,https://www.youtube.com/watch?v=qp0Vc6_IleI,0.052499,0.006841,0.003439,0.499777,0.533868,94.263391,2020-09-11 07:26:52,153,0.0113,2243.0000,0.0113,198108,2243,0,0,2243,444356244
[#THROWBACK] Transfert du SNA De Grasse sur le dispositif de mise à l’eau (ENG SUB),https://www.youtube.com/watch?v=y51ATsRog90,0.011089,0.006732,0.022014,0.498499,0.416304,74.029500,2025-07-18 15:59:13,124,0.0102,250.0000,0.0112,24451,250,0,24,274,6699574
[EURONAVAL 2022] KEY NOTE - Eric Papin introduces Blue Shark,https://www.youtube.com/watch?v=jAPOdWgsvwQ,0.017293,0.006205,0.012773,0.499882,0.217240,38.964402,2022-10-20 07:50:30,731,0.0093,483.0000,0.0111,51925,483,0,95,578,30012650
